timestamp,open,high,low,close,volume,close_p1,close_p2,close_p3,close_p4,close_p5,close_p6,close_p7,close_p8,close_p9,close_p10,close_p11
2017-01-06 14:02:00+05:30,84.6,84.6,84.47,84.5,5993,84.5,84.43,84.33,84.37,84.4,84.3,84.37,84.3,84.27,84.23,84.17
2017-01-06 14:03:00+05:30,84.5,84.57,84.5,84.5,5258,84.43,84.33,84.37,84.4,84.3,84.37,84.3,84.27,84.23,84.17,84.23
2017-01-06 14:04:00+05:30,84.5,84.53,84.43,84.43,19158,84.33,84.37,84.4,84.3,84.37,84.3,84.27,84.23,84.17,84.23,84.23
2017-01-06 14:05:00+05:30,84.47,84.47,84.33,84.33,36920,84.37,84.4,84.3,84.37,84.3,84.27,84.23,84.17,84.23,84.23,84.23
2017-01-06 14:06:00+05:30,84.33,84.4,84.33,84.37,11585,84.4,84.3,84.37,84.3,84.27,84.23,84.17,84.23,84.23,84.23,84.27
2017-01-06 14:07:00+05:30,84.37,84.43,84.37,84.4,8481,84.3,84.37,84.3,84.27,84.23,84.17,84.23,84.23,84.23,84.27,84.27
2017-01-06 14:08:00+05:30,84.4,84.43,84.17,84.3,58736,84.37,84.3,84.27,84.23,84.17,84.23,84.23,84.23,84.27,84.27,84.3
2017-01-06 14:09:00+05:30,84.3,84.4,84.27,84.37,13191,84.3,84.27,84.23,84.17,84.23,84.23,84.23,84.27,84.27,84.3,84.43
2017-01-06 14:10:00+05:30,84.37,84.4,84.27,84.3,10701,84.27,84.23,84.17,84.23,84.23,84.23,84.27,84.27,84.3,84.43,84.47
2017-01-06 14:11:00+05:30,84.3,84.33,84.23,84.27,7320,84.23,84.17,84.23,84.23,84.23,84.27,84.27,84.3,84.43,84.47,84.47
2017-01-06 14:12:00+05:30,84.3,84.33,84.23,84.23,11309,84.17,84.23,84.23,84.23,84.27,84.27,84.3,84.43,84.47,84.47,84.5
2017-01-06 14:13:00+05:30,84.23,84.27,84.17,84.17,20291,84.23,84.23,84.23,84.27,84.27,84.3,84.43,84.47,84.47,84.5,84.4
2017-01-06 14:14:00+05:30,84.2,84.27,84.17,84.23,14112,84.23,84.23,84.27,84.27,84.3,84.43,84.47,84.47,84.5,84.4,84.5
2017-01-06 14:15:00+05:30,84.27,84.3,84.2,84.23,10379,84.23,84.27,84.27,84.3,84.43,84.47,84.47,84.5,84.4,84.5,84.47
2017-01-06 14:16:00+05:30,84.23,84.3,84.23,84.23,35787,84.27,84.27,84.3,84.43,84.47,84.47,84.5,84.4,84.5,84.47,84.3
